Protein IDs,Majority protein IDs,Protein names,Gene names,Lead gene name,id,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,MS/MS count,Minus_log10_Pvalue,Log2FC,Median Normalized Intensity Cont1,Median Normalized Intensity Cont2,Median Normalized Intensity Cont3,Median Normalized Intensity Cont4,Median Normalized Intensity Cont5,Median Normalized Intensity Cont6,Median Normalized Intensity KD1,Median Normalized Intensity KD2,Median Normalized Intensity KD3,Median Normalized Intensity KD4,Median Normalized Intensity KD5,Median Normalized Intensity KD6
P54725;K7EQ16,P54725;K7EQ16,UV excision repair protein RAD23 homolog A,RAD23A,RAD23A,2559,2,1,1,10.5,8.3,8.3,39.609,0,12.122,19,0.401330755,0.280101697,-4.855059147,-6.643024921,-5.882376194,-5.233855724,-5.593352795,-6.108706474,-5.482254505,-5.765123844,-5.661183834,-5.473686218,-5.683892727,-4.569623947
Q5W0S5;P54727;Q5W0S4;K7ENJ0;K7ELW1;A0A494C0B4,Q5W0S5;P54727,UV excision repair protein RAD23 homolog B,RAD23B,RAD23B,2560,3,3,2,20.5,20.5,15.1,15.213,0,4.4799,48,0.072011119,-0.079222597,0.107642204,0.705209136,-0.446812391,-0.464984417,-0.699700654,0.296393931,0.074995458,0.199356183,0.787171125,-0.545528769,-1.594206095,0.100624323
P54753,P54753,Ephrin type-B receptor 3,EPHB3,EPHB3,2561,6,3,1,9,5,1.8,110.33,0,17.807,27,1.256464968,1.49073143,-2.668872118,NaN,-4.705899239,-3.096969843,-4.410468102,-2.686919928,-1.494273186,-1.713297963,-1.173967242,-1.740350485,-3.993583202,NaN
P54802;K7ENX5,P54802,Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form,NAGLU,NAGLU,2562,16,16,16,33.1,33.1,33.1,82.265,0,112.67,144,2.01024176,0.450627983,1.416299462,1.320530772,1.058111668,1.321847439,1.73962605,1.356279969,1.592645168,1.419006944,2.017272949,1.783808947,2.049447298,2.05428195
P54803;A0A087WX10;G3V5E8;G3V4M2;G3V255,P54803;A0A087WX10;G3V5E8,Galactocerebrosidase,GALC,GALC,2563,8,8,8,18.1,18.1,18.1,77.063,0,138.01,108,0.010088912,-0.005819261,1.777891159,1.404942632,1.616004705,0.866724253,2.181931973,1.100248933,1.559194207,1.454308033,1.487725735,1.460097671,1.606291056,1.345211387
P54829;E9PLZ4,P54829;E9PLZ4,Tyrosine-protein phosphatase non-receptor type 5;Protein-tyrosine-phosphatase,PTPN5,PTPN5,2564,3,3,3,12,12,12,63.537,0,46.472,33,0.474246352,-0.24434948,4.133016586,3.596685886,4.099712849,2.884168386,3.418482065,3.621406555,4.078038692,3.439886808,3.342664242,3.092679024,3.233788967,3.100317717
P54886,P54886,Delta-1-pyrroline-5-carboxylate synthase;Glutamate 5-kinase;Gamma-glutamyl phosphate reductase,ALDH18A1,ALDH18A1,2565,15,15,15,27.9,27.9,27.9,87.301,0,49.939,121,0.434596363,0.174536566,1.599999428,0.88257122,1.081122041,1.324634075,1.152287006,0.718634784,1.427152038,1.470801711,1.708372712,1.042941928,0.797354877,1.359844685
P54920;M0R2M1;M0R058;M0R0I4,P54920;M0R2M1,Alpha-soluble NSF attachment protein,NAPA,NAPA,2566,17,14,4,66.1,54.6,16.9,33.232,0,189.71,207,0.424783031,0.147737106,2.274960756,1.89679575,1.871462226,1.889508724,2.24714613,2.198158264,2.235141039,2.143723965,1.65293324,2.623594046,2.487660646,2.121401548
P55010;H0YLZ1;H0YN40;H0YMJ8;H0YM54;H0YK11;H0YK29,P55010;H0YLZ1;H0YN40,Eukaryotic translation initiation factor 5,EIF5,EIF5,2567,13,13,13,32.3,32.3,32.3,49.222,0,34.555,152,2.611451313,0.325665911,2.591376066,2.525877237,2.739695072,2.480189085,2.322515249,2.750843525,2.98070693,2.938078165,2.72795248,2.775872231,2.993915796,2.947966099
P55011;G3XAL9,P55011;G3XAL9,Solute carrier family 12 member 2,SLC12A2,SLC12A2,2568,6,6,6,8,8,8,131.45,0,9.0411,45,1.290153787,0.399521271,-2.159684896,-1.223945141,-1.170245886,-1.230340958,-1.112895012,-0.955029309,-0.996040404,-0.867575407,-0.88014257,-0.772732377,-0.865803242,-1.072719574
P55036;Q5VWC4;A6PVX3;H0Y3Y9;H0Y561,P55036;Q5VWC4;A6PVX3,26S proteasome non-ATPase regulatory subunit 4,PSMD4,PSMD4,2569,10,10,9,32.4,32.4,27.9,40.736,0,216.55,243,1.107260126,0.172729055,3.15407443,3.084030628,2.843327999,3.101059675,2.992943764,3.155524731,3.057715654,3.021426916,3.128304243,3.360325336,3.43672204,3.362841368
P55060,P55060,Exportin-2,CSE1L,CSE1L,2570,39,39,39,47.6,47.6,47.6,110.42,0,268.17,652,0.219889582,-0.636918545,4.317275047,4.619542599,8.676452637,4.555739403,8.465866089,4.522185326,4.41256094,9.294447899,4.571706772,4.363046646,4.162753105,4.53103447
P55072;C9IZA5;C9JUP7,P55072,Transitional endoplasmic reticulum ATPase,VCP,VCP,2571,54,54,54,70.1,70.1,70.1,89.321,0,323.31,1627,0.426850589,0.050479174,6.79232502,6.88045454,6.781589985,6.841520786,6.841154099,6.799253464,6.715616226,6.849942684,6.925196171,6.757747173,6.924845695,7.065824986
P55081,P55081,Microfibrillar-associated protein 1,MFAP1,MFAP1,2572,4,4,4,13.4,13.4,13.4,51.958,0,36.385,80,0.038348285,0.022352088,0.150708735,0.249943405,-0.205077708,0.590299785,-0.129034549,-0.252519459,-0.247902587,0.257363379,0.417950481,-0.106573664,0.581775725,-0.364180595
P55084;F5GZQ3;B5MD38;C9JEY0;C9JE81;C9K0M0,P55084;F5GZQ3;B5MD38,"Trifunctional enzyme subunit beta, mitochondrial;3-ketoacyl-CoA thiolase",HADHB,HADHB,2573,16,16,16,42.4,42.4,42.4,51.294,0,47.985,170,0.504451727,0.084378242,2.591689825,2.29329586,2.405180454,2.545989275,2.743490458,2.650397301,2.502153873,2.520431995,2.707334757,2.75575757,2.670101881,2.580532551
P55265;A0A3B3ISX1,P55265,Double-stranded RNA-specific adenosine deaminase,ADAR,ADAR,2574,30,30,4,33.7,33.7,6.1,136.06,0,198.2,522,1.351013723,0.171559374,3.553117514,3.757161379,3.667937994,3.705169201,3.810584784,3.68138814,3.842416763,3.752717733,4.18949461,3.80913806,3.788808107,3.822139978
P55327;E5RK35,P55327,Tumor protein D52,TPD52,TPD52,2575,4,1,1,42.4,16.5,16.5,24.327,0.00046718,2.9325,6,0.38002689,0.330340385,NaN,NaN,NaN,-3.611040592,-3.142604828,NaN,-2.982048988,NaN,NaN,-2.438348532,-3.356395006,-3.409136772
P55345;H7C2H9;A8MXR3;A0A087WYX1,P55345;H7C2H9;A8MXR3,Protein arginine N-methyltransferase 2,PRMT2,PRMT2,2576,3,3,3,10.6,10.6,10.6,49.041,0,6.078,27,1.194241535,-0.577756329,-1.057215691,0.056893673,0.160321862,0.171026185,-0.027316477,-0.032179032,-0.995321572,-0.052346654,NaN,-0.451260746,-1.031604409,-0.965306163
P55735;A8MXL6;E7ERC8,P55735;A8MXL6,Protein SEC13 homolog,SEC13,SEC13,2577,9,9,9,39.8,39.8,39.8,35.54,0,99.719,143,0.974301828,-0.18000714,2.32427597,2.639776707,2.730386496,2.570487499,2.655859709,2.765666008,2.44783926,2.103024006,2.397555351,2.648447752,2.414538383,2.595004797
P55795,P55795,Heterogeneous nuclear ribonucleoprotein H2,HNRNPH2,HNRNPH2,2578,14,8,8,45,28.1,28.1,49.263,0,202.41,241,0.13177734,-0.02098616,4.010659218,4.097084522,4.026826382,3.933540106,4.016630173,4.047759056,4.085607529,3.968006849,4.046252728,3.793941975,3.917964458,4.19480896
P55809;E9PDW2;Q9BYC2,P55809;E9PDW2,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",OXCT1,OXCT1,2579,20,20,20,48.5,48.5,48.5,56.157,0,323.31,400,1.115251416,-0.190373063,4.047581673,4.389373302,4.331704617,4.07656765,4.327809811,4.396780968,4.015026093,3.876652241,4.339753628,3.951472521,4.016219616,4.228455544
P55884;C9JZG1;C9JQN7,P55884,Eukaryotic translation initiation factor 3 subunit B,EIF3B,EIF3B,2580,31,31,31,48.3,48.3,48.3,92.48,0,168.8,441,0.194388453,0.028707663,3.91485405,4.065132141,3.749271393,3.879547834,3.948613405,4.09493351,3.963711262,3.996459007,4.008620262,3.938064098,3.854238033,4.06350565
P56134;C9JU26,P56134;C9JU26,"ATP synthase subunit f, mitochondrial",ATP5J2,ATP5J2,2581,4,4,2,41.5,41.5,16,10.918,0,52.335,107,0.859568022,-0.097780188,2.74010849,2.816636562,2.682406425,2.683154106,2.909199238,2.764675856,2.648071527,2.616163254,2.641263485,2.534816504,2.894477129,2.674707651
P56159,P56159,GDNF family receptor alpha-1,GFRA1,GFRA1,2582,2,2,2,6.7,6.7,6.7,51.455,0,13.403,17,0.835292743,0.312268496,NaN,NaN,-3.899994373,-3.889682293,NaN,-3.5157938,-3.258154631,-3.441777468,NaN,-3.668732882,NaN,NaN
P56182,P56182,Ribosomal RNA processing protein 1 homolog A,RRP1,RRP1,2583,1,1,1,6.7,6.7,6.7,52.839,0,5.697,18,2.425833486,0.609210086,-3.212657452,-3.525529385,-3.179302931,NaN,-3.430932283,-3.455461025,-3.05227375,-2.662314177,-2.420422792,-2.871255398,NaN,NaN
P56192;H0YHV5;F5H2V6;H0YIP0;F8VS26;F8W0M7;F8W0S4;F8VZZ9;H0YIC2;H0YI94;F8VPL7,P56192,"Methionine--tRNA ligase, cytoplasmic",MARS,MARS,2584,35,35,35,50,50,50,101.11,0,323.31,625,2.936961102,0.338496367,4.741260052,4.662918091,4.613460541,4.609926224,4.836090088,4.799094677,4.953354836,5.144715309,5.25623703,5.117742538,4.811383247,5.010294914
P56524,P56524,Histone deacetylase 4,HDAC4,HDAC4,2585,2,2,2,4.5,4.5,4.5,119.04,0.00023987,3.3585,10,0.037502372,-0.121791412,-2.196350098,-1.88901794,-1.944779634,-1.951771379,-6.042474747,-1.896465302,-1.886888981,-1.589494824,NaN,-1.997079134,-5.627608776,NaN
P56537;B7ZBH1;A0A0U1RQV5;F8WD20;A0A0B4J1Y7;F8WDS6,P56537,Eukaryotic translation initiation factor 6,EIF6,EIF6,2586,7,7,7,56.7,56.7,56.7,26.599,0,164.99,187,1.384681388,-0.25489521,2.073078632,2.57463026,2.030443907,2.075325012,2.412278891,2.404197454,1.823926449,1.91204524,2.044124842,2.012507677,2.222802639,2.025176048
P56545;A0A087WYL1,P56545,C-terminal-binding protein 2,CTBP2,CTBP2,2587,12,9,9,40.7,34.6,34.6,48.944,0,87.097,128,0.133553283,-0.040600916,2.07474637,1.956171513,1.859890461,2.086281776,1.981337547,2.097254038,1.914785743,1.92176199,1.704757452,2.176316023,2.38998127,1.704473734
P56559,P56559,ADP-ribosylation factor-like protein 4C,ARL4C,ARL4C,2588,2,2,2,16.1,16.1,16.1,21.487,0.0045642,2.0406,3,0.301512695,-0.224442859,-2.422111034,-2.19899416,-2.786190033,-2.26059556,-2.692430258,-2.569222212,-1.970293403,-3.504243612,-3.681382179,-2.505448818,-2.703169107,-1.911663294
V9GYN3;P56937,V9GYN3;P56937,3-keto-steroid reductase,HSD17B7,HSD17B7,2589,1,1,1,19.4,19.4,19.4,7.0769,0.00091075,2.6016,6,0.080488405,0.068358262,-2.251354933,-0.964767456,-2.429433107,-2.704419136,-1.796159506,-1.855109096,-1.218619227,-2.211955547,-2.199078321,-2.444741249,-1.5924052,-1.924294114
P56962,P56962,Syntaxin-17,STX17,STX17,2590,1,1,1,8.6,8.6,8.6,33.403,0,7.6121,10,0.555834559,-0.304705207,-4.29011488,-4.881999016,-5.329185486,-5.52984333,-5.112251282,-5.025534153,-4.991382599,-5.534696102,NaN,-5.160204411,-6.017585754,-4.960430622
P57088;D6RAA6;H0Y8N0,P57088;D6RAA6;H0Y8N0,Transmembrane protein 33,TMEM33,TMEM33,2591,5,5,5,21.5,21.5,21.5,27.978,0,21.478,47,0.383690384,-0.248352746,0.723823071,0.904255629,0.968693674,0.832141638,1.355517149,1.065519571,-0.271880805,0.704210579,0.910119355,0.207458854,1.208265185,1.601661086
P57723;C9J0A4;C9JZY3;C9JTY5;C9J7A9;C9JSA6;C9J5V4;C9IZV9;C9K0A2;F8WC71,P57723;C9J0A4;C9JZY3;C9JTY5;C9J7A9;C9JSA6;C9J5V4,Poly(rC)-binding protein 4,PCBP4,PCBP4,2592,8,7,7,39.5,37.5,37.5,41.481,0,75.32,84,2.269934699,0.689346599,0.363409996,0.055374458,0.295212746,0.648334444,0.289478183,-0.263197392,0.862634599,0.803622782,1.084831715,1.15907526,0.288736552,1.325791121
P57737,P57737,Coronin-7,CORO7,CORO7,2593,20,1,1,42.8,2.4,2.4,100.6,0,7.9674,22,3.237400225,-0.991138856,-2.002513885,-2.261960745,-2.921032429,-2.478353739,-2.453663111,-1.516280174,-3.276200771,-3.339854479,-3.256244898,-3.205504417,-3.089234114,-3.413598537
P57740;H0YG15;F5GY77;G3V1T4,P57740,Nuclear pore complex protein Nup107,NUP107,NUP107,2594,18,18,18,30.3,30.3,30.3,106.37,0,35.609,158,1.174616072,0.266061405,1.049849987,1.110782027,1.117205501,1.189293265,1.252875924,1.065671802,1.01305747,1.560927749,1.907645345,1.303919196,1.228481412,1.368015766
P57772;C9J8T0,P57772;C9J8T0,Selenocysteine-specific elongation factor,EEFSEC,EEFSEC,2595,9,9,9,31.2,31.2,31.2,65.304,0,20.36,72,0.01710568,0.005196854,0.396307796,0.44519043,0.880852461,0.730016291,0.753048718,0.924919188,0.549539447,0.875936151,0.567886353,0.811263561,0.654011726,0.702878773
P58004,P58004,Sestrin-2,SESN2,SESN2,2596,1,1,1,3.3,3.3,3.3,54.493,0.0070332,1.8473,5,0.851521913,0.182666779,-4.204767227,NaN,NaN,NaN,-4.124425411,NaN,-3.916353703,NaN,NaN,NaN,NaN,-4.047505379
P59768;G3V2C9;G3V3J9;G3V2N0,P59768;G3V2C9;G3V3J9;G3V2N0,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2;Guanine nucleotide-binding protein subunit gamma,GNG2,GNG2,2597,2,2,2,39.4,39.4,39.4,7.8501,0,9.2621,3,0.300223156,-0.226376156,-1.979112625,-2.643222332,-2.102897644,-1.879339576,-2.416163206,-2.430487871,-2.179158211,-1.702642918,-3.105350256,-2.653549194,-3.470230579,-1.698549032
P60059,P60059,Protein transport protein Sec61 subunit gamma,SEC61G,SEC61G,2598,1,1,1,17.6,17.6,17.6,7.7412,0,14.381,17,0.883774474,0.241460065,-2.609136343,-2.508824348,-2.600232363,-3.042356014,-2.735778093,-2.624247074,-1.934610486,-2.769870996,-2.657311678,-2.253391266,-2.581021309,-2.47560811
P60174;U3KPZ0;U3KQF3;U3KPS5,P60174;U3KPZ0,Triosephosphate isomerase,TPI1,TPI1,2599,19,19,19,74.8,74.8,74.8,30.791,0,312.91,857,2.302760833,0.270785173,7.141695499,7.447965145,7.022416115,7.13395071,7.322427273,7.300134182,7.34574604,7.422530174,7.48448801,7.598386765,7.585135937,7.557013035
P60228;E5RGA2;H0YBR5;E5RHS5;E5RIT4;H0YAW4;H0YBP5;E5RII3;E5RIP5;E5RJ25,P60228;E5RGA2,Eukaryotic translation initiation factor 3 subunit E,EIF3E,EIF3E,2600,19,19,19,50.3,50.3,50.3,52.22,0,124.02,334,0.90981976,0.154229442,3.521057367,3.325291395,3.421495676,3.145190477,3.145266771,3.211265326,3.401858091,3.42948103,3.62277627,3.278543234,3.297019005,3.665266037
P60468,P60468,Protein transport protein Sec61 subunit beta,SEC61B,SEC61B,2601,2,2,2,27.1,27.1,27.1,9.9743,0,27.642,36,0.605461752,0.218834574,0.139203936,1.348812461,0.91018486,1.06488204,0.666137636,1.07241118,1.040479541,1.135007143,1.172822833,1.146656275,0.864744246,1.154929519
P60484;A0A087X033,P60484;A0A087X033,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",PTEN,PTEN,2602,2,2,2,7.2,7.2,7.2,47.166,0.00091554,2.6691,11,0.142223636,-0.280292968,-3.705011368,-4.975942135,-2.269162655,-1.923929095,-1.652955174,-1.876549721,-2.454411983,-2.137669802,-1.836331725,-4.9532547,-4.407056808,-2.296582937
P60510;H3BTA2;H3BV22;I3L4X0,P60510;H3BTA2;H3BV22,Serine/threonine-protein phosphatase 4 catalytic subunit;Serine/threonine-protein phosphatase,PPP4C,PPP4C,2603,9,7,7,39.7,34.9,34.9,35.08,0,26.544,83,0.575053605,-0.349248876,0.689082801,0.552480519,-0.669188142,0.427967757,-0.671858847,0.029395079,0.365535229,-0.698998153,-0.037926193,-0.612439752,-0.463568985,-0.290216237
P60520;H3BSM5;H3BQ50,P60520;H3BSM5;H3BQ50,Gamma-aminobutyric acid receptor-associated protein-like 2,GABARAPL2,GABARAPL2,2604,7,7,7,51.3,51.3,51.3,13.667,0,16.331,101,1.720786517,-0.3857855,2.635942698,2.652460337,2.816249132,2.210870981,2.409185886,2.885122299,1.912872553,2.169145823,2.03394413,2.46657753,2.248936415,2.463641882
P60602,P60602,Reactive oxygen species modulator 1,ROMO1,ROMO1,2605,1,1,1,21.5,21.5,21.5,8.1828,0,58.917,29,0.221198832,0.130250601,-1.91670084,-1.568799853,-1.13430202,NaN,-1.462960362,-0.823722124,-1.275172949,-1.258443117,-1.439185143,-1.842671514,-0.819181979,-0.871623933
P60709;A0A2R8YFE2;Q9BYX7,P60709,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally processed",ACTB,ACTB,2606,29,1,0,81.1,4.5,0,41.736,0,29.815,131,1.920936479,0.207866311,3.942011356,3.903894663,3.661112785,3.962656498,3.768418312,3.920306206,4.10041666,4.007223606,4.07123661,4.121045113,3.880462646,4.225213051
P60763;J3KSC4;J3QLK0,P60763;J3KSC4;J3QLK0,Ras-related C3 botulinum toxin substrate 3,RAC3,RAC3,2607,9,3,3,50,20.8,20.8,21.379,0,11.042,39,0.042605862,-0.047477598,2.252464771,2.230818272,1.068308115,0.472744018,1.869508624,2.275363922,1.802500486,1.138585448,0.685469806,2.07526803,1.972545743,2.20997262
P60842;J3KT12;J3QS69;J3KTB5;J3QL43;J3KSZ0;J3QR64;J3KTN0;J3QLN6;J3QKZ9;J3KS25;J3QL52;J3KS93;J3KT04;J3QQP0,P60842;J3KT12;J3QS69;J3KTB5;J3QL43;J3KSZ0,Eukaryotic initiation factor 4A-I,EIF4A1,EIF4A1,2608,30,30,16,80.3,80.3,51,46.153,0,323.31,1043,0.35083141,0.064716975,6.730465889,6.923724651,6.792117596,6.715292931,6.941131115,6.997670174,6.965038776,6.998991966,7.039453983,6.664037228,6.76901722,7.052165031
P60866;E5RIP1;E5RJX2;G3XAN0,P60866;E5RIP1;E5RJX2;G3XAN0,40S ribosomal protein S20,RPS20,RPS20,2609,4,4,4,23.5,23.5,23.5,13.373,0,50.875,167,0.186096838,-0.051069578,4.002239704,4.379500866,4.09429121,4.111846924,4.331685066,4.373222351,4.137891293,4.017631054,4.460941315,3.923602581,4.065533161,4.380769253
P60880;A0A0A0MSS0,P60880,Synaptosomal-associated protein 25,SNAP25,SNAP25,2610,12,12,12,56.8,56.8,56.8,23.315,0,190.63,153,1.1882297,-0.731745611,2.382410049,2.741427422,2.19421196,2.18867445,2.551914215,1.73852396,1.697500587,1.67077136,-0.001153174,2.120878935,2.078353882,1.8403368
P60900;G3V295;G3V5Z7;G3V3I1;G3V3U4;H0YJC4;G3V4S5;G3V2S7,P60900;G3V295;G3V5Z7;G3V3I1,Proteasome subunit alpha type-6;Proteasome subunit alpha type,PSMA6,PSMA6,2611,16,16,16,69.9,69.9,69.9,27.399,0,230.36,437,1.338991883,0.196043889,4.881725788,4.845016479,4.860143185,5.007026196,4.598063946,4.808356762,4.845066547,4.954948425,5.121191025,5.135719776,4.870856285,5.248813629
P60953;A0A590UJK8;Q5JYX0;A0A494C1M1;A0A494BZX6;A0A3B3IRV0;F8WET9;B1AH79;G3V4H1;G3V476;P84095;Q9H4E5,P60953;A0A590UJK8;Q5JYX0,Cell division control protein 42 homolog,CDC42,CDC42,2612,7,6,6,42.4,36.6,36.6,21.258,0,86.416,212,0.484315992,-0.161588271,4.138333321,4.681164265,4.638028622,3.861054897,4.476116657,4.639917374,4.120196819,4.544320583,4.37488842,4.202020645,4.219222069,4.00443697
P60981;F6RFD5,P60981;F6RFD5,Destrin,DSTN,DSTN,2613,11,11,11,56.4,56.4,56.4,18.506,0,131.97,254,2.711354013,-0.280369918,4.097911835,4.267843246,4.415905952,4.262520313,4.302094936,4.531424522,3.981670618,3.979346514,4.078680515,3.993347168,4.000363827,4.162072659
P61006,P61006,Ras-related protein Rab-8A,RAB8A,RAB8A,2614,8,6,5,49.3,40.1,32.9,23.668,0,21.863,78,0.331983069,0.088320712,1.874893785,2.288453817,2.263899088,2.060037851,2.089817524,2.358492851,2.23870945,2.34698534,2.627063513,2.017597914,2.077116728,2.158046246
P61009,P61009,Signal peptidase complex subunit 3,SPCS3,SPCS3,2615,3,3,3,16.7,16.7,16.7,20.313,0,4.2443,27,0.960057922,0.415894944,-0.159383118,-0.723422348,-0.88945359,-0.109969288,0.164619878,0.206321031,-0.137167156,-0.193693772,0.242030114,0.036392309,0.244330004,0.792190731
P61011;G3V4F7;G3V346;A0A0D9SFN7;G3V3L9;G3V480,P61011;G3V4F7,Signal recognition particle 54 kDa protein,SRP54,SRP54,2616,12,12,12,33.1,33.1,33.1,55.704,0,137.22,144,0.216202319,-0.05050534,1.103877544,1.151564598,1.085120559,0.937228322,1.236731768,1.019797206,1.110301256,0.974852443,1.005820155,1.279517531,1.182544708,0.678251863
P61018;M0R0X1,P61018;M0R0X1,Ras-related protein Rab-4B,RAB4B,RAB4B,2617,5,5,2,27.2,27.2,12.7,23.586,0,11.013,14,1.685637946,-0.994850539,-0.464853615,-0.200063407,-0.410387725,-0.373221189,-1.09789741,-0.155034259,-0.673409522,-1.720803618,-1.522022605,-1.337424517,-2.833908319,-0.582992256
P61019;E9PKL7;H0YD31;E9PE37;H7C125;H0YDL5;A0A1D5RMT4,P61019;E9PKL7,Ras-related protein Rab-2A,RAB2A,RAB2A,2618,17,17,8,76.4,76.4,40.6,23.545,0,118.54,391,0.396012841,0.08867089,5.173886776,4.821363926,5.139686108,4.880560398,5.226584911,4.844082832,4.92410326,5.003160954,5.146625519,5.261122227,4.96068716,5.322491169
P61020;F8VUA5;F8VVZ0,P61020;F8VUA5,Ras-related protein Rab-5B,RAB5B,RAB5B,2619,10,7,7,67,52.1,52.1,23.707,0,180.69,189,0.3754676,0.09647884,2.201115847,2.299979925,1.749598622,2.211393356,1.879760385,1.909380913,1.979285598,1.954527617,2.300958157,2.187374353,2.045114994,2.362841368
P61026;A0A087WWB9,P61026,Ras-related protein Rab-10,RAB10,RAB10,2620,12,11,10,61.5,56,52.5,22.541,0,57.145,240,0.427555224,0.220798175,3.988012791,4.926324368,5.27956152,5.00439167,4.777184963,4.885194302,4.803791523,4.87898159,5.767453194,4.716535091,4.922326088,5.096371174
P61081;M0QX69;M0QYI6,P61081,NEDD8-conjugating enzyme Ubc12,UBE2M,UBE2M,2621,9,9,9,43.2,43.2,43.2,20.9,0,15.644,122,0.318496934,0.065406481,3.052782297,2.903033495,2.915774345,2.861553907,2.864570618,3.149906397,2.854871511,3.038298368,2.802843332,2.991328716,3.157703876,3.295014143
P61086;D6RDM7,P61086;D6RDM7,Ubiquitin-conjugating enzyme E2 K,UBE2K,UBE2K,2622,9,9,9,60,60,60,22.406,0,32.031,115,0.042081956,-0.030385867,0.334057599,0.295261949,0.546348631,0.447370321,1.179184914,0.291306466,0.670477211,-0.393349677,0.982534945,1.002218366,0.382174253,0.267159581
P61088;F8VQQ8;F8VSD4;F8VV71;Q5JXB2;F8VZ29,P61088;F8VQQ8;F8VSD4;F8VV71;Q5JXB2,Ubiquitin-conjugating enzyme E2 N;Putative ubiquitin-conjugating enzyme E2 N-like,UBE2N;UBE2NL,UBE2N,2623,8,8,8,66.4,66.4,66.4,17.138,0,12.357,78,0.55787443,-0.285250783,2.542192936,2.780490398,2.687823296,2.104016066,2.292774677,2.833059788,2.73516202,2.60628891,1.582723022,1.994593501,1.781013727,2.829071283
P61106;X6RFL8,P61106;X6RFL8,Ras-related protein Rab-14,RAB14,RAB14,2624,15,15,15,71.6,71.6,71.6,23.897,0,154.93,371,2.345161924,-0.247314612,5.050714016,5.216489315,4.932299137,4.950793743,4.939760208,4.990832329,4.799627304,4.635892868,4.619248867,4.73278141,4.908854008,4.900596619
P61158;B4DXW1;F8WDR7;H7C4J1;F8WEW2;F8WE84,P61158;B4DXW1,Actin-related protein 3,ACTR3,ACTR3,2625,19,19,17,59.6,59.6,56.9,47.371,0,259.16,783,1.689619543,-0.212332646,5.431448936,5.142747879,5.2211833,5.212197781,5.274518013,5.407707691,4.974911213,5.156308174,4.821453571,5.203608513,5.197875023,5.06165123
P61160;F5H6T1;A0A1B0GWD0;A0A1B0GWH0,P61160;F5H6T1,Actin-related protein 2,ACTR2,ACTR2,2626,16,16,16,56.1,56.1,56.1,44.76,0,320.56,540,0.010025344,-0.001484553,4.725420952,4.530507088,4.577940941,4.609595776,4.635002613,4.668486595,4.544938087,4.676282883,4.44832325,4.699270248,4.667887688,4.70134449
P61163;R4GMT0;A0A1B0GVS3,P61163;R4GMT0;A0A1B0GVS3,Alpha-centractin,ACTR1A,ACTR1A,2627,19,19,11,54.8,54.8,34,42.613,0,310.14,573,4.873984319,-0.768180132,5.450412273,5.620725632,5.279089451,5.233459473,5.451485157,5.321626663,4.566481113,4.615897655,4.453408241,4.840646267,4.86254549,4.40873909
P61201;B4DIH5;H0YKU5;H0YM03;H0YMC2,P61201;B4DIH5;H0YKU5,COP9 signalosome complex subunit 2,COPS2,COPS2,2628,19,19,19,54.6,54.6,54.6,51.596,0,52.554,254,2.379767788,0.440720836,3.411916256,3.368877172,3.165766716,3.337163448,3.108280897,3.309650183,3.298549891,3.64379096,4.039216995,3.597201347,3.851863146,3.915357351
P84077;P61204;F5H423;F5H0C7;H0YGG7;F5H1V1;F5H6T5,P84077;P61204;F5H423,ADP-ribosylation factor 1;ADP-ribosylation factor 3,ARF1;ARF3,ARF1,2629,12,12,7,65.2,65.2,35.4,20.697,0,149.36,436,1.317638148,-0.253829082,5.603069782,5.559637547,5.585903645,5.409253597,5.577053547,5.773409367,5.069786549,5.526352882,4.973005772,5.469692707,5.373536587,5.572978497
P61221;D6R9I9;D6RGF4;H0Y990,P61221;D6R9I9,ATP-binding cassette sub-family E member 1,ABCE1,ABCE1,2630,15,15,15,34.4,34.4,34.4,67.314,0,153.07,156,0.493425651,0.187988679,1.936024189,1.593004465,1.866945148,1.872657895,1.403068781,1.890866876,2.086527348,1.948625326,2.307411432,1.93881762,1.215608358,2.19350934
P61224;E7ESV4;F5H7Y6;F5GX62;A6NIZ1;F5H6R7;F5H004;F5H0B7;F5H500;F5GYB5;F5H077;F5GWU8;F5H491;F5H4H0;F5GYH7;F8WBC0,P61224;E7ESV4;F5H7Y6;F5GX62;A6NIZ1;F5H6R7;F5H004;F5H0B7;F5H500;F5GYB5,Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein,RAP1B,RAP1B,2631,13,13,2,80.4,80.4,14.7,20.825,0,126.91,335,0.373707031,-0.060287992,4.067789555,4.080103874,4.158926487,3.91351223,4.156267643,4.148308754,3.87622118,4.07750988,3.819845915,4.044557095,4.196003914,4.149042606
